,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
54,Ghana,25-35,female,2017,2436767.04,24.321,592646.1117984001,2.887,53239.77119718019,1790881.1570044197,704106.6308955456,8498.869303563672,278339.1835302874,1264.962601925043,2540.492739698184,3750.047180689955,464497.7518576147,4573.1725405337065,85146.34924612724,1051.0414032702997,13680.96039620941,27.989689543611245,5282.054269587207,5343.4602211369665,18149.028796416085,73380.39771103942,28454.375511850587,0,0,9639.020738850366,0
55,Ghana,25-35,female,2018,2479279.04,24.208,600183.8700031999,2.947,55376.9346598057,1823718.2353369943,68466456.97153524,862384.8542525711,28585948.65643057,143844.1743322745,288890.02724894596,437663.0075476484,47191627.40595141,494010.3057001277,8801371.28381377,113537.21739798087,1275955.9671008468,2870.6626942156254,541735.0598655486,548032.9423069401,1799080.7404400718,7186356.513481023,2823079.0903920783,0,0,951723.4495688629,0
56,Ghana,25-35,female,2019,2521791.04,24.063,606818.5779552,2.982,57104.47881817594,1857867.983226624,69031688.98434152,886960.7549566599,28006943.34752201,141683.48159774317,284550.591287407,394968.38713926723,47282185.925596796,465945.661631432,8647328.677243264,107087.18678514051,1389877.7356287062,2889.7803173603897,545342.8284618678,551682.6526275054,1787682.0409207344,7210150.76617903,2741676.7378836237,0,0,953821.2648511283,0
57,Ghana,25-35,female,2020,2564303.04,24.622,631382.6945087999,3.071,59359.98381003476,1873560.3616811652,69286053.43406475,818170.088722368,28222957.176690895,126492.94634545317,254042.6185917376,403346.5621940121,47191073.33532365,438441.5462145988,8107531.89022878,100765.9811435001,1461103.4410386875,2865.793534100052,540816.1797923098,547103.3798926313,1876736.3976471939,7516935.68052466,2852320.518158837,0,0,949094.9951881646,0
58,Ghana,25-35,female,2021,2613711.8079999997,24.222,633093.27413376,3.432,67974.82808228934,1912643.7057839504,69742705.34786609,873934.7834578691,27962236.90992019,139219.8852462338,279602.8176259313,385967.79748562985,46788824.916531004,449708.5398621587,8521605.051488496,103355.44758260954,1376111.5082418814,2821.449344222983,532447.7976740801,538637.7120517121,1780819.8556771602,7260541.160934175,2833126.545652299,0,0,962668.3995715993,0
59,Ghana,25-35,female,2022,2663120.576,23.904,636592.34248704,3.381,68516.91957507317,1958011.3139378866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
60,Ghana,25-35,female,2023,2712529.344,24.117,654180.70189248,3.44,70807.19328849869,1987541.4488190212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
61,Ghana,25-35,female,2024,2761938.112,24.354,672642.4077964801,3.428,71621.05674009665,2017674.6474634234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
78,Ghana,25-35,male,2015,2231660.48,13.788,307701.3469824,5.105,98218.11374054849,1825741.0192770516,777734.097590504,27310.179517123423,158814.8999473689,3919.4510193307883,7482.186467149231,125694.27905784184,210066.57326848613,101839.42249302569,21288.449367541452,17879.98124866701,23290.830456699958,2697.68913623275,19809.42792729325,14731.42484732572,51869.626690354264,126569.04995749849,40619.60437243526,0,0,12033.73571109297,0
79,Ghana,25-35,male,2016,2295781.7600000002,13.991,321202.8260416,3.817,75369.67790919215,1899209.256049208,91027627.09815817,6183255.328317942,12741505.203634076,497087.72703550523,371327.00577653793,18243655.28314527,24550551.073932692,13890063.691748748,1225723.0861491228,1043836.2274622053,2723560.087943961,535064.2058236019,1589206.7956883593,1497836.5419616515,4062331.3620178024,9181127.336646449,1491959.6333406388,0,0,370462.8239408331,0
