,name,age_group,sex,year,population,Total_inactive_population,Total_unemployed_population,Total_employed_population,Less than basic_employed,Basic_employed,Intermediate_employed,Advanced_employed,Level not stated_employed,Less than basic_unemployed,Basic_unemployed,Intermediate_unemployed,Advanced_unemployed,Level not stated_unemployed
163,Kenya,25-35,female,2022,4739996.736,553726.4186995199,157152.58771146002,4029117.72958902,1020751.2955406539,2201187.516102268,654348.5570615861,141218.16869682452,11611.656298066542,67307.30235688039,274263.2905985996,153991.72447349146,58164.10127054853,
164,Kenya,25-35,female,2023,4846339.104,562514.5798012799,159658.1400168863,4124166.384181834,1044831.2663497737,2253114.495146725,669784.9265493044,144549.56724100737,11885.58036353136,68375.5327978739,278616.10798401537,156435.71854223977,59087.22047715088,
165,Kenya,25-35,female,2024,4952681.472,576888.33785856,161904.3459632333,4213888.788178206,1067561.8655193495,2302131.637073636,684356.286715817,147694.2838846525,12144.15451980165,70122.7112724682,285735.4977222121,160433.07123421316,60597.05762966658,
182,Kenya,25-35,male,2015,4085025.92,268263.6521664,51678.96110646695,3765083.3067271328,,,,,,,,,,
183,Kenya,25-35,male,2016,4166646.272,270790.34121728,52477.179387643235,3843378.7513950765,298753.8791714212,1817544.0541366949,1503470.4030508308,197018.41486358814,26591.511456813958,21236.00964975432,67023.52739572046,137941.04528043946,35499.5337118778,
184,Kenya,25-35,male,2017,4248266.624,283996.6238144,77660.0493036359,3886609.950881964,,,,,,,,,,
185,Kenya,25-35,male,2018,4329886.976,297723.02846976003,102658.89410411989,3929505.05342612,,,,,,,,,,
186,Kenya,25-35,male,2019,4411507.328,310217.19530495995,129846.84560112497,3971443.287093915,687195.9664793264,1980873.0199938065,1061994.7368312255,216435.6125308692,24944.43609680088,30347.321976320905,154339.00974115505,88968.90624162981,34669.50943402045,
187,Kenya,25-35,male,2020,4493127.68,354193.25501439994,154009.74995371417,3984924.6750318855,689528.7091987359,1987597.2549149445,1065599.764525271,217170.32085859557,25029.1120182745,34649.326067165544,176217.94363197524,101581.04377745946,39584.22222248689,
188,Kenya,25-35,male,2021,4598833.344,326425.19075711997,157950.92942538927,4114457.2238174905,711942.2849742043,2052205.386657446,1100237.7727037303,224229.5823190839,25842.69946043652,31932.886103718523,162402.798615,93617.2869554404,36480.895971387676,
189,Kenya,25-35,male,2022,4704539.008,315110.02275584004,154464.005990742,4234964.979253419,732794.26181954,2112312.139841807,1132462.48114567,230797.01082731792,26599.60262821159,30825.967945253968,156773.2853230125,90372.14730409217,35216.32608388593,
190,Kenya,25-35,male,2023,4810244.672,320699.01228224003,155562.75710922037,4333982.90260854,749927.760303561,2161700.213318113,1158940.6418175914,236193.28702809993,27221.529238518826,31372.716698214645,159553.9149012997,91975.04454088432,35840.944989751806,
191,Kenya,25-35,male,2024,4915950.336,327451.45188095997,156743.1218815064,4431755.762237534,766845.8200393099,2210467.2749946844,1185085.8627926365,241521.70977845497,27835.635666008962,32033.281172813055,162913.38322470742,93911.61406266794,36595.5897093662,
208,Rwanda,15-24,female,2015,1120700.0,648818.058,84438.55470148,387443.3872985201,,,,,,,,,,
209,Rwanda,15-24,female,2016,1155980.0,673208.0726000001,86638.250091204,396133.677308796,,,,,,,,,,
210,Rwanda,15-24,female,2017,1191260.0,696517.8094,88895.27680700799,405846.913792992,10217.580938615467,351464.78902234737,36535.35008030955,7629.193751719631,,17238.097202269124,472587.01648438035,153505.99962038838,52802.931093911146,391.5969378071132
211,Rwanda,15-24,female,2018,1226540.0,781195.5914,82027.98662003399,363316.421979966,6863.68229114144,313138.85673068796,36108.1046441139,7206.648787363346,,10237.329849721735,500495.8103299529,196125.68764730057,74336.76357302479,
212,Rwanda,15-24,female,2019,1261820.0,801293.5545999999,83042.12863452802,377484.31676547206,6687.467672207244,320165.9576044812,43389.91081540922,7240.980673374391,,14584.248779033056,555258.6936441957,189491.3980519803,41959.214124790895,
213,Rwanda,15-24,female,2020,1297100.0,765613.275,101168.49810375,430318.2268962499,7642.508889032226,353362.3113734664,59018.50785542563,10295.77041483219,,5421.780615403246,507170.12104141444,205819.9891620247,47193.967244611296,
